term,meaning,description,url
AJAX,Asynchronous Javascript And XML,"Ajax( Asynchronous JavaScript And XML) is a set of web development techniques that use many web technologies on the client-side to create asynchronous web applications. With Ajax, web applications can asynchronously send and retrieve data from a server without interfering with the existing page’s display and behavior. Ajax is not a programming language, and it requires a built-in browser with the XMLHttpRequest object that requests data from the server. It also uses JavaScript and HTML DOM to display the data. Ajax is widely used in client-side programming (e.g., JavaScript) to allow for data to be sent and received to and from a database/server. The data in the background can be easily exchanged without compromising the user experience.",https://developer.mozilla.org/en-US/docs/Glossary/AJAX
API,Application Programming Interface,"An API (Application Programming Interface) is a set of features and rules that exist inside a software program (the application) enabling interaction with it through software - as opposed to a human user interface. The API can be seen as a simple contract (the interface) between the application offering it and other items, such as third party software or hardware. In Web development, an API is generally a set of code features (e.g. methods, properties, events, and URLs) that a developer can use in their apps for interacting with components of a user's web browser, or other software/hardware on the user's computer, or third party websites and services.",https://developer.mozilla.org/en-US/docs/Glossary/API
ARIA,Accessible Rich Internet Applications,"Accessible Rich Internet Applications (ARIA) is a set of attributes that define ways to make web content and web applications (especially those developed with JavaScript) more accessible to people with disabilities. It supplements HTML so that interactions and widgets commonly used in applications can be passed to assistive technologies when there is not otherwise a mechanism. For example, ARIA enables accessible navigation landmarks in HTML4, JavaScript widgets, form hints and error messages, live content updates, and more.",https://developer.mozilla.org/en-US/docs/Glossary/ARIA
AWS,Amazon Web Services,"Amazon Web Services is a subsidiary of Amazon providing on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered pay-as-you-go basis.",https://en.wikipedia.org/wiki/Amazon_Web_Services
BASH,Bourne Again SHell,"Bash is a Unix shell and command language written by Brian Fox for the GNU Project as a free software replacement for the Bourne shell. First released in 1989, it has been used as the default login shell for most Linux distributions. A version is also available for Windows 10 via the Windows Subsystem for Linux.",https://en.wikipedia.org/wiki/Bash_(Unix_shell)
CDN,Content Delivery Network,"A CDN (Content Delivery Network) is a group of servers spread out over many locations. These servers store duplicate copies of data so that servers can fulfill data requests based on which servers are closest to the respective end-users. CDNs make for fast service less affected by high traffic.

CDNs are used widely for delivering stylesheets and Javascript files (static assets) of libraries like Bootstrap, jQuery etc.",https://developer.mozilla.org/en-US/docs/Glossary/CDN
CLI,Command Line Interface,"CLI is a command line program that accepts text input to execute operating system functions.

In the 1960s, using only computer terminals, this was the only way to interact with computers.

In the 1970s an 1980s, command line input was commonly used by Unix systems and PC systems like MS-DOS and Apple DOS.

Today, with graphical user interfaces (GUI), most users never use command-line interfaces (CLI).

However, CLI is still used by software developers and system administrators to configure computers, install software, and access features that are not available in the graphical interface.",https://en.wikipedia.org/wiki/Command-line_interface
CLR,Common Language Runtime,"The common language runtime makes it easy to design components and applications whose objects interact across languages. Objects written in different languages can communicate with each other, and their behaviors can be tightly integrated. For example, you can define a class and then use a different language to derive a class from your original class or call a method on the original class. You can also pass an instance of a class to a method of a class written in a different language. This cross-language integration is possible because language compilers and tools that target the runtime use a common type system defined by the runtime, and they follow the runtime's rules for defining new types, as well as for creating, using, persisting, and binding to types.",https://en.wikipedia.org/wiki/Common_Language_Runtime
CMS,Content Management System,"A content management system, often abbreviated as CMS, is software that helps users create, manage, and modify content on a website without the need for specialized technical knowledge.

In simpler language, a content management system is a tool that helps you build a website without needing to write all the code from scratch (or even know how to code at all).

Instead of building your own system for creating web pages, storing images, and other functions, the content management system handles all that basic infrastructure stuff for you so that you can focus on more forward-facing parts of your website.",https://developer.mozilla.org/en-US/docs/Glossary/CMS
CSS,Cascading Style Sheets,"CSS (Cascading Style Sheets) is a declarative language that controls how webpages look in the browser. The browser applies CSS style declarations to selected elements to display them properly. A style declaration contains the properties and their values, which determine how a webpage looks.

CSS is one of the three core Web technologies, along with HTML and JavaScript. CSS usually styles HTML elements, but can be also used with other markup languages like SVG or XML.

",https://developer.mozilla.org/en-US/docs/Glossary/CSS
DRY,Don't Repeat Yourself,"Don't repeat yourself (DRY, or sometimes do not repeat yourself) is a principle of software development aimed at reducing repetition of software patterns,[1] replacing it with abstractions or using data normalization to avoid redundancy.

The DRY principle is stated as ""Every piece of knowledge must have a single, unambiguous, authoritative representation within a system"". The principle has been formulated by Andy Hunt and Dave Thomas in their book The Pragmatic Programmer.[2] They apply it quite broadly to include ""database schemas, test plans, the build system, even documentation"".[3] When the DRY principle is applied successfully, a modification of any single element of a system does not require a change in other logically unrelated elements. Additionally, elements that are logically related all change predictably and uniformly, and are thus kept in sync. Besides using methods and subroutines in their code, Thomas and Hunt rely on code generators, automatic build systems, and scripting languages to observe the DRY principle across layers.",https://en.wikipedia.org/wiki/Don%27t_repeat_yourself
